genesymbol,test_statistic,p-value,padj
Abhd14a,-3.491845618,9.77E-05,0.004264392
Osbp2,-3.490758655,9.84E-05,0.004255319
Gm3160,3.489710934,9.88E-05,0.004246285
Gm17655,-3.489688171,9.88E-05,0.004237288
Chchd10,-3.48918493,9.88E-05,0.00422833
1600025M17Rik,-3.487321339,9.92E-05,0.004219409
Ppm1h,3.483459368,0.000100746,0.004210526
Gprc5b,3.482700218,0.000100962,0.004201681
Gm5111,3.480230616,0.000102904,0.004192872
Sgk1,3.476808339,0.000103982,0.0041841
Rmnd1,-3.476347401,0.000104198,0.004175365
Atl1,-3.47570232,0.000104198,0.004166667
4-Sep,-3.469924381,0.000105708,0.004158004
Slc16a11,-3.468347202,0.000107003,0.004149378
Dock4,3.468050162,0.000107218,0.004140787
Lars2,3.46443845,0.000108297,0.004132231
Gm12216,-3.459874929,0.000111964,0.004123711
Golgb1,-3.457711203,0.00011369,0.004115226
Ptgr1,-3.456662136,0.000114553,0.004106776
Rgs17,3.455334936,0.000114985,0.004098361
Ndfip1,-3.447880413,0.000118005,0.00408998
Ptchd4,-3.445196573,0.000119299,0.004081633
Synb,3.443793753,0.000120594,0.00509165
Plekhg5,3.439623898,0.000123398,0.006097561
Carkd,-3.437065648,0.000124045,0.006085193
Ano3,-3.433948957,0.000126418,0.006072874
Pnck,-3.432414781,0.000126418,0.006060606
Ryr3,-3.427921645,0.000128791,0.006048387
Hps1,-3.426221232,0.000130517,0.006036217
Cars2,-3.425807432,0.000130733,0.006024096
Nifk,3.424550278,0.000130949,0.006012024
Cst3,3.423706232,0.000131812,0.006
Gls,-3.42089244,0.000133322,0.005988024
Eef2,3.419781318,0.000133322,0.005976096
Gm26870,-3.416419461,0.000134616,0.005964215
P4htm,-3.414305106,0.000135048,0.005952381
Dfna5,-3.408083726,0.000137205,0.005940594
Mrpl18,-3.407125202,0.000138284,0.005928854
Large,3.404703351,0.000138931,0.00591716
Atf3,3.401579602,0.000140441,0.005905512
Cyp46a1,-3.401492276,0.000140441,0.00589391
Myo1c,3.399736644,0.000141088,0.005882353
Gm3052,3.399289925,0.000141088,0.005870841
Acot10,3.389622811,0.000147344,0.005859375
Trnp1,3.387616662,0.00014907,0.005847953
Rnft1,3.384146214,0.00015209,0.005836576
Slitrk1,3.379656222,0.000154032,0.005825243
Zfp935,-3.379199939,0.000154248,0.005813953
Abcc5,-3.37671701,0.000155542,0.005802708
Flnb,-3.375684845,0.000155974,0.005791506
Cd200,-3.368997286,0.000160072,0.005780347
Sirt7,-3.367707001,0.000161151,0.005769231
Prpf38b,3.363951855,0.000162661,0.005758157
Ankrd44,3.362488665,0.00016374,0.005747126
Thra,-3.357637183,0.000166976,0.007648184
Slc28a3,3.357528582,0.000166976,0.007633588
Galnt16,-3.355100913,0.000167623,0.007619048
Abhd8,-3.35360227,0.000168486,0.007604563
Ice2,-3.349726573,0.000170859,0.007590133
Camk2g,-3.347735308,0.000171722,0.007575758
Elk3,3.346434419,0.000172585,0.007561437
Kcnh7,-3.34506311,0.000173232,0.00754717
Mtf2,3.343082788,0.000174311,0.007532957
Chst12,-3.341862788,0.000175174,0.007518797
Celf3,-3.339359309,0.0001769,0.00750469
Ncam1,-3.338874441,0.0001769,0.007490637
Podxl2,-3.334265255,0.000180783,0.007476636
A230050P20Rik,-3.332734413,0.000180998,0.007462687
Loxl2,3.331697901,0.000181861,0.00744879
Tcea2,-3.330701221,0.000182724,0.007434944
Tbc1d32,-3.329621815,0.000183587,0.00742115
Tlr13,-3.329263845,0.000183803,0.007407407
Rpl19,3.325546362,0.000186392,0.007393715
Ndc1,3.324014386,0.000187686,0.007380074
Ndn,-3.321051388,0.000189843,0.007366483
Ptprn,3.319408078,0.000191353,0.007352941
Cyp7b1,-3.319242858,0.000191353,0.00733945
Tmsb4x,-3.317408049,0.000193079,0.007326007
Ntng1,-3.314579314,0.000195237,0.007312614
Luc7l3,-3.311133536,0.000198688,0.00729927
AW146154,-3.302110097,0.000204513,0.007285974
A830036E02Rik,-3.296754717,0.000208612,0.007272727
Rnpc3,-3.294497807,0.000210554,0.008166969
Ildr2,3.292781168,0.000211848,0.009057971
Cul3,3.290095355,0.000214437,0.009041591
Galt,-3.290059958,0.000214437,0.009025271
Sipa1l1,3.289820325,0.000214652,0.009009009
Gm4208,3.28742023,0.000217673,0.008992806
Med15,3.286750728,0.000217888,0.008976661
Clcc1,3.286396236,0.000217888,0.008960573
Igsf11,-3.285799241,0.000218967,0.008944544
Prkag2,-3.284309688,0.000220261,0.008928571
1700064H15Rik,3.283865708,0.000220477,0.008912656
Mal2,-3.283398137,0.000222203,0.008896797
Syt10,-3.283017331,0.000222419,0.008880995
Pla2g4e,-3.282899634,0.00022285,0.008865248
9030624G23Rik,-3.282111634,0.000223713,0.008849558
Csgalnact1,-3.279808945,0.000226086,0.008833922
Rapgefl1,-3.276505537,0.000228028,0.008818342
Adamts17,-3.27545527,0.000228459,0.008802817
Exosc2,3.271053896,0.00023299,0.008787346
Gm19932,-3.267248228,0.000237736,0.00877193
Zbtb18,-3.266134072,0.000238814,0.008756567
Amy1,-3.26167552,0.000242913,0.008741259
Gm27798,-3.257494714,0.000245286,0.008726003
Fez1,-3.255807379,0.000247228,0.008710801
Gm10134,3.25561314,0.000247444,0.008695652
Rnasek,-3.25253624,0.000251327,0.008680556
Crocc,-3.249967506,0.000252837,0.008665511
Rgs6,3.248992404,0.0002537,0.008650519
Ttf1,3.248726052,0.000253916,0.008635579
Pcsk2,3.248166814,0.000254347,0.00862069
Epha7,3.244609763,0.000258662,0.008605852
Rgs14,-3.243523354,0.000259956,0.008591065
Ntn5,-3.237458587,0.000265781,0.010291595
Jkamp,-3.235666639,0.000267291,0.010273973
Crtac1,3.234443558,0.000269017,0.01025641
Fat4,-3.232601678,0.00027139,0.010238908
Mettl21b,3.231670594,0.000272684,0.010221465
Numbl,3.231549383,0.0002729,0.010204082
Fbxl6,-3.231033092,0.000273116,0.010186757
Tnrc6c,-3.227250738,0.000275704,0.010169492
Gnb4,-3.222434266,0.000283039,0.010152284
Crlf1,-3.221467052,0.000284334,0.010135135
Tsen2,-3.220462425,0.000284549,0.010118044
D130040H23Rik,-3.218299315,0.000286275,0.01010101
Dlgap4,3.217007983,0.00028757,0.010084034
Sumo3,-3.214873909,0.000289727,0.010067114
Grem2,3.211314462,0.000293179,0.010050251
Phf20,-3.207484749,0.000299219,0.010869565
AY074887,3.205423664,0.000301376,0.010851419
Ptk2b,-3.203853905,0.000303102,0.011666667
Higd2a,-3.202211047,0.000306122,0.011647255
Zmym2,3.201755354,0.000306554,0.011627907
Tln2,-3.196289325,0.000311731,0.011608624
Clcn2,-3.192253209,0.000316478,0.011589404
Negr1,-3.191865332,0.000316693,0.011570248
Emc4,-3.189563923,0.000319066,0.011551155
Reep5,-3.188222542,0.000320145,0.011532125
Nebl,-3.184938144,0.000322518,0.011513158
Pde6d,-3.184303905,0.000323165,0.011494253
Sgms1,-3.183193693,0.000324891,0.01147541
Adck2,-3.18079265,0.000327696,0.011456628
Pi4ka,3.179548265,0.000329637,0.011437908
4921534H16Rik,3.173023003,0.000338266,0.01141925
Gm15857,-3.172912444,0.000338482,0.011400651
Slit3,-3.172895319,0.000338482,0.011382114
Hscb,-3.169325903,0.00034517,0.012987013
Tia1,-3.168544163,0.000345817,0.012965964
Slc6a15,-3.163394312,0.000351642,0.012944984
Prkdc,-3.162140418,0.000354015,0.012924071
Mir5098,-3.160259174,0.000356819,0.012903226
A230065N10Rik,-3.160196401,0.000356819,0.012882448
Gtf3c1,3.159618112,0.000358114,0.012861736
Slitrk3,3.158625664,0.000359624,0.012841091
Arhgap42,3.15731365,0.000361565,0.012820513
Tuba1a,-3.153374892,0.00036739,0.0128
Ssfa2,3.151679125,0.000369763,0.012779553
Gm23159,-3.149352146,0.000373862,0.012759171
Dst,-3.145686832,0.000380981,0.012738854
Pkd2,-3.142785226,0.000385943,0.012718601
2210404O09Rik,-3.140822922,0.000388532,0.014285714
Gpd1l,-3.139162447,0.000390905,0.014263074
Ly6h,-3.137701284,0.000393925,0.014240506
